"Key","Issue Type","Summary","Status","Created","Priority","Motivo Impedimento","Fix versions","Backlog","Developer Testing","Done","In Progress","Open","Presa in carico","READY IN HOTFIX","rejected","Released","TESTING IN HOTFIX","To Do-RESEVO","Waiting for support","Waiting for Support (II° Level)-10104","Total","'->Backlog","'->Developer Testing","'->Done","'->In Progress","'->Open","'->Presa in carico","'->READY IN HOTFIX","'->rejected","'->Released","'->TESTING IN HOTFIX","'->To Do-RESEVO","'->Waiting for support","'->Waiting for Support (II° Level)-10104"
"RAM-1111","[System] Service request","Verifica allocato Garage voy: SETE/TANGERI 01/02/26 - voy 46440","In Progress","2026-01-31 21:27","High","Attesa info utente","","0","-","-","0","-","0","-","-","-","-","-","-","-","0","2026-01-31 21:27","","","2026-01-31 21:28","","2026-01-31 21:28","","","","","","",""
"RAM-1110","Bug","CLONE - ERRORE ATOMIZZAZIONE","In Progress","2026-01-30 14:49","Medium","","","30","-","-","69","-","90","-","-","-","-","-","1","-","190","2026-01-30 14:52","","","2026-01-30 14:49,2026-01-30 16:52","","2026-01-30 15:22","","","","","","2026-01-30 14:49,2026-01-30 14:51",""
"RAM-1109","Bug","Messaggio su biglietti pregressi - modifiche veicolo","Done","2026-01-30 10:03","Medium","","hotfix-5.424.next","0","141","0","95","-","22","159","-","-","0","-","-","-","417","2026-01-30 10:03","2026-01-30 12:27","2026-01-30 19:31","2026-01-30 10:25","","2026-01-30 10:03","2026-01-30 15:21","","","2026-01-30 19:31","","",""
"RAM-1108","Bug","Errore upgrade","Done","2026-01-30 09:56","Medium","","hotfix-5.424.next","0","141","0","0","-","123","159","-","-","0","-","-","-","424","2026-01-30 09:56","2026-01-30 12:26","2026-01-30 19:31","2026-01-30 12:26","","2026-01-30 09:56","2026-01-30 15:21","","","2026-01-30 19:31","","",""
"RAM-1107","Task","[CNCT] Revisione compensazione","In Progress","2026-01-30 09:24","Critical","","","241","-","-","215","-","0","-","-","-","-","-","-","-","456","2026-01-30 09:24","","","2026-01-30 14:25","","2026-01-30 14:25","","","","","","",""
"RAM-1106","Task","[CNCT] Revisione gestione Freight","In Progress","2026-01-30 08:26","Critical","","","4","-","-","476","-","0","-","-","-","-","-","-","-","480","2026-01-30 08:26","","","2026-01-30 09:04","","2026-01-30 09:04","","","","","","",""
"RAM-1105","Bug","DATEBASE VEICOLI DA CONTROLLARE","Released","2026-01-29 18:05","High","","","0","0","451","0","-","0","0","-","29","0","-","-","-","480","2026-01-29 18:05","2026-01-30 08:20","2026-01-30 08:20","2026-01-30 08:20","","2026-01-29 18:05","2026-01-30 08:20","","2026-01-30 17:30","2026-01-30 08:20","","",""
"RAM-1104","Bug","CAMBIO NAVE RESEVO ","Released","2026-01-29 17:40","Critical","","","1","0","0","13","-","5","0","-","480","0","-","-","-","499","2026-01-29 17:40","2026-01-29 18:34","2026-01-29 18:34","2026-01-29 17:47","","2026-01-29 17:41","2026-01-29 18:34","","2026-01-29 18:34","2026-01-29 18:34","","",""
"RAM-1103","Bug","discordanza tra emissione e checkin","Done","2026-01-29 16:36","Medium","","NEXT-RC","0","0","84","396","-","83","0","-","-","0","-","-","-","563","2026-01-29 16:36","2026-01-30 16:36","2026-01-30 16:36","2026-01-29 18:31","","2026-01-29 16:37","2026-01-30 16:36","","","2026-01-30 16:36","","",""
"RAM-1102","Task","FE - Calcolo categoria per tipologia veicolo vuoto","Developer Testing","2026-01-29 12:04","Low","","","386","0","-","178","-","215","-","-","-","-","-","-","-","780","2026-01-29 12:04","2026-01-30 18:27","","2026-01-30 15:01","","2026-01-30 10:26","","","","","","",""
"RAM-1101","Task","Errore in fase di eliminazione veicolo dopo inserimento wizard","Done","2026-01-29 11:31","Medium","","hotfix-5.424.next","46","216","0","368","-","0","0","-","-","178","-","-","-","809","2026-01-29 11:31","2026-01-30 10:25","2026-01-30 18:02","2026-01-29 13:17","","2026-01-29 13:17","2026-01-30 15:01","","","2026-01-30 15:01","","",""
"RAM-1100","Bug","errore trigger su trigger update gnv2018.gtrck00f ","Released","2026-01-28 14:58","Medium","","hotfix-5.424.159","0","34","247","66","-","3","0","-","790","0","-","-","-","1,141","2026-01-28 14:58","2026-01-28 16:08","2026-01-28 16:42","2026-01-28 15:02","","2026-01-28 14:59","2026-01-28 16:42","","2026-01-29 11:49","2026-01-28 16:42","","",""
"RAM-1094","Bug","Resevo non cancella biglietti con partenza annullate","Released","2026-01-28 14:05","High","","hotfix-5.424.159","-","15","260","101","-","-","28","-","790","0","-","0","-","1,194","","2026-01-28 15:47","2026-01-28 16:29","2026-01-28 14:05","","","2026-01-28 16:01","","2026-01-29 11:49","2026-01-28 16:29","","2026-01-28 14:05",""
"RAM-1093","Bug","DB auto - Ricerca a due lettere","Released","2026-01-28 14:05","Low","","hotfix-5.424.155","0","0","9","0","-","34","0","-","1,150","0","-","-","-","1,195","2026-01-28 14:05","2026-01-28 14:39","2026-01-28 14:40","2026-01-28 14:39","","2026-01-28 14:05","2026-01-28 14:40","","2026-01-28 14:49","2026-01-28 14:40","","",""
"RAM-1092","Bug","ESTRAPOLAZIONE ASTREA","Released","2026-01-28 12:35","Medium","","hotfix-5.424.155","0","0","94","0","-","0","0","-","1,150","16","-","-","-","1,260","2026-01-28 12:35","2026-01-28 12:59","2026-01-28 13:15","2026-01-28 12:49","","2026-01-28 12:36","2026-01-28 12:59","","2026-01-28 14:49","2026-01-28 12:59","","",""
"RAM-1091","Bug","ERRORE IN FASE DI EMISSIONE","Released","2026-01-28 10:43","High","","hotfix-5.424.155","1","0","110","7","-","69","0","-","1,150","0","-","-","-","1,336","2026-01-28 10:43","2026-01-28 12:34","2026-01-28 12:34","2026-01-28 11:53","","2026-01-28 10:44","2026-01-28 12:34","","2026-01-28 14:49","2026-01-28 12:34","","",""
"RAM-1090","Bug","non è presente ""totali prenotato"" in Gestione Viaggi","Released","2026-01-27 18:37","Medium","","","0","0","1","0","-","508","0","-","930","0","-","-","-","1,440","2026-01-27 18:37","2026-01-29 09:28","2026-01-29 09:28","2026-01-29 09:28","","2026-01-27 18:37","2026-01-29 09:28","","2026-01-29 09:29","2026-01-29 09:28","","",""
"RAM-1089","Bug","DB auto - modifica tipologia","Released","2026-01-27 18:31","High","","hotfix-5.424.155","0","0","185","26","-","78","0","-","1,150","0","-","-","-","1,440","2026-01-27 18:31","2026-01-28 10:44","2026-01-28 10:44","2026-01-28 10:18","","2026-01-27 18:33","2026-01-28 10:44","","2026-01-28 14:49","2026-01-28 10:44","","",""
"RAM-1088","Bug","DB auto - Emissione BUS","Released","2026-01-27 18:06","Medium","","hotfix-5.424.159","0","63","170","211","-","180","22","-","790","3","-","-","-","1,440","2026-01-27 18:06","2026-01-28 16:31","2026-01-28 17:59","2026-01-28 12:14","","2026-01-27 18:07","2026-01-28 17:33","","2026-01-29 11:49","2026-01-28 17:56","","",""
"RAM-1087","Bug","Problemi DB auto - retrocompatibilità biglietti pregressi","Released","2026-01-27 17:14","High","","hotfix-5.424.155","1","0","110","123","-","10","92","-","1,150","0","-","-","-","1,485","2026-01-27 17:14","2026-01-28 10:28","2026-01-28 12:34","2026-01-27 17:25","","2026-01-27 17:15","2026-01-28 10:28","","2026-01-28 14:49","2026-01-28 12:34","","",""
"RAM-1086","Bug","Erroore In fase di upgrade","Released","2026-01-27 16:53","Medium","","hotfix-5.424.159","1","0","180","277","-","26","231","-","790","0","-","-","-","1,507","2026-01-27 16:53","2026-01-28 13:57","2026-01-28 17:49","2026-01-27 17:20","","2026-01-27 16:54","2026-01-28 13:57","","2026-01-29 11:49","2026-01-28 17:49","","",""
"RAM-1085","Bug","PISTOLA DE ESCANEO ID'S NO ESCANEA NIE'S ESPA","Released","2026-01-27 15:07","Medium","","hotfix-5.424.155","0","33","110","320","-","0","0","-","1,150","0","-","-","-","1,613","2026-01-27 15:07","2026-01-28 11:27","2026-01-28 12:13","2026-01-27 15:07","","2026-01-27 15:07","2026-01-28 12:13","","2026-01-28 14:49","2026-01-28 12:13","","",""
